Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,1040067814,1207294404,1432438495,1606191001,1669818679,1802784198,1908830346,2048321812,2216364112,2272818090,2299768906,2461830746,2510870032,2541955653,2735726916,2850135060,2823202610,2854554404,3062757840,3051023261,3085420847,3180746294,3239137008,2860878966,2782678075,2876433100,2846495188,3029567030,2981500673,2962907263,3013858156,3226290954,3303132500,3227066766,2453132866,3131163016,3458629981,
Africa Eastern and Southern,AFE,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1.52801E+11,1.53504E+11,1.65582E+11,1.74882E+11,1.83045E+11,1.92452E+11,2.01747E+11,2.1259E+11,2.21413E+11,2.32659E+11,2.35305E+11,2.48185E+11,2.55108E+11,2.66786E+11,2.81375E+11,2.85385E+11,2.92164E+11,2.95499E+11,2.99981E+11,3.08729E+11,3.25577E+11,3.38656E+11,3.39738E+11,3.39815E+11,3.51255E+11,3.50849E+11,3.58781E+11,3.73005E+11,3.88941E+11,3.99434E+11,4.00161E+11,3.9979E+11,3.90374E+11,3.88065E+11,3.95435E+11,4.12372E+11,4.34866E+11,4.51559E+11,4.59499E+11,4.71703E+11,4.86891E+11,5.03982E+11,5.23343E+11,5.38852E+11,5.68798E+11,6.03863E+11,6.43583E+11,6.86359E+11,7.16361E+11,7.22667E+11,7.6049E+11,7.91434E+11,8.05334E+11,8.39563E+11,8.73005E+11,8.99296E+11,9.18933E+11,9.43297E+11,9.68594E+11,9.89799E+11,9.62279E+11,1.00556E+12,1.0413E+12,1.0686E+12
Afghanistan,AFG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6206547590,5621147631,7228795919,7867263256,7978515642,8874480196,9349921886,10642671963,11060395116,13426272073,15354612542,15420077666,17386490239,18360263163,18860496494,19134221645,19566715174,20084646751,20323499020,21118473702,20621957125,16345202563,15325233810,
Africa Western and Central,AFW,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1.07776E+11,1.09795E+11,1.13866E+11,1.22002E+11,1.28598E+11,1.33874E+11,1.31816E+11,1.19818E+11,1.21692E+11,1.4027E+11,1.64911E+11,1.82363E+11,1.88154E+11,1.95726E+11,2.15407E+11,2.10759E+11,2.28614E+11,2.391E+11,2.34436E+11,2.46388E+11,2.51115E+11,2.34052E+11,2.26331E+11,2.11928E+11,2.13005E+11,2.24506E+11,2.2756E+11,2.30756E+11,2.4166E+11,2.45805E+11,2.59997E+11,2.62622E+11,2.69144E+11,2.65598E+11,2.64739E+11,2.6982E+11,2.82366E+11,2.94922E+11,3.05567E+11,3.10288E+11,3.22265E+11,3.39052E+11,3.72711E+11,3.93333E+11,4.24771E+11,4.4953E+11,4.73692E+11,4.99852E+11,5.3125E+11,5.64624E+11,6.03982E+11,6.3327E+11,6.65792E+11,7.06449E+11,7.4831E+11,7.69367E+11,7.70456E+11,7.88061E+11,8.10462E+11,8.36576E+11,8.28173E+11,8.61257E+11,8.93851E+11,9.23731E+11
Angola,AGO,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,23063262074,22048478262,22048478262,22974514664,24352986041,25205340428,25936295740,26995209500,28649716325,28661640755,27672785865,27947122601,26315491127,20004137038,20272065135,23312874912,26470456890,28395991341,29728088881,30376604084,31304495194,32621161810,37079068253,38187732393,42369289093,48737393240,54366562158,61983317521,68906854084,69499453031,72556300250,75075493557,81488522604,85525963564,89650503848,90496420507,88161512206,88031782694,86872966033,86262880685,81399194251,82375341953,84884003096,85610610956
Albania,ALB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,4650626379,4917834409,5062841518,5118782791,5054716277,5144722777,5434743311,5391926085,5315358596,5838206448,5279160806,3800882719,3527709062,3864937294,4185837882,4743489157,5175146643,4610021454,5017059783,5663799109,6057218862,6559562959,6857139117,7236245480,7635300387,8057259479,8532852034,9043394715,9721653066,10047745439,10420209148,10685445792,10836884503,10945471987,11139693789,11386853113,11764325094,12211675170,12702504600,12967696313,12539492342,13656576506,14319794713,14812273861
Andorra,AND,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,859121720.8,899066287.6,972337883.9,1048068101,1106956844,1112958827,1149728616,1182364532,1199662527,1200161073,1226669362,1225044338,1240314039,1262269065,1284796613,1314622306,1357391200,1432687348,1505673115,1578352472,1638036096,1679740553,1695348938,1677861678,1717848180,1765217871,1847295889,2014802622,2079171403,2164398280,2240766094,2422701909,2532846713,2753057567,2977037420,3137731826,3288615582,3339693969,3154034157,2986780566,2927792904,2927556638,2781926981,2683235436,2750436143,2789881259,2893376872,2903390036,2949518095,3008967037,2672445971,2893916908,3170685261,3216475798
Arab World,ARB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,2.53611E+11,2.70708E+11,3.00032E+11,3.22445E+11,3.94416E+11,4.30381E+11,4.96993E+11,5.66804E+11,6.27211E+11,6.16673E+11,7.116E+11,7.62265E+11,7.66873E+11,8.51431E+11,9.04563E+11,9.08437E+11,8.37909E+11,7.9324E+11,8.03404E+11,7.92962E+11,8.19777E+11,8.13428E+11,8.54586E+11,8.84906E+11,9.69119E+11,9.82837E+11,1.04465E+12,1.07175E+12,1.10571E+12,1.13575E+12,1.18789E+12,1.24662E+12,1.30705E+12,1.33135E+12,1.41919E+12,1.44301E+12,1.45263E+12,1.52339E+12,1.65856E+12,1.74923E+12,1.85708E+12,1.94056E+12,2.04827E+12,2.05665E+12,2.15567E+12,2.23269E+12,2.3444E+12,2.40348E+12,2.46078E+12,2.54414E+12,2.63597E+12,2.6758E+12,2.74599E+12,2.79188E+12,2.64109E+12,2.77623E+12,2.93706E+12,2.96437E+12
United Arab Emirates,ARE,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,14070592924,19222171572,26734126559,47217855776,54063519993,57430272387,66921691096,81269253405,79977394655,96711523271,1.19801E+11,1.25383E+11,1.16958E+11,1.11407E+11,1.15883E+11,1.11717E+11,95006426310,98219526270,95647247530,1.07448E+11,1.27141E+11,1.28235E+11,1.32524E+11,1.34195E+11,1.4345E+11,1.53044E+11,1.61918E+11,1.75179E+11,1.75691E+11,1.8079E+11,2.0041E+11,2.03214E+11,2.08159E+11,2.26479E+11,2.48144E+11,2.60192E+11,2.85788E+11,2.94889E+11,3.04301E+11,2.88347E+11,2.92969E+11,3.1118E+11,3.16857E+11,3.32876E+11,3.46743E+11,3.70275E+11,3.90868E+11,3.93741E+11,3.98915E+11,4.03336E+11,3.83343E+11,4.00036E+11,4.31441E+11,4.46126E+11
Argentina,ARG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1.50798E+11,1.58983E+11,1.57628E+11,1.49261E+11,1.64382E+11,1.81756E+11,1.80557E+11,1.8632E+11,1.95305E+11,2.1421E+11,2.20734E+11,2.33224E+11,2.37021E+11,2.43686E+11,2.57171E+11,2.57098E+11,2.51909E+11,2.69377E+11,2.57238E+11,2.83535E+11,2.87842E+11,2.72903E+11,2.70896E+11,2.82677E+11,2.87117E+11,2.72219E+11,2.88969E+11,2.96785E+11,2.93551E+11,2.72541E+11,2.65817E+11,2.90095E+11,3.1312E+11,3.38818E+11,3.58592E+11,3.48389E+11,3.67644E+11,3.97464E+11,4.12767E+11,3.98793E+11,3.95646E+11,3.78203E+11,3.36999E+11,3.6678E+11,3.99899E+11,4.35297E+11,4.70326E+11,5.12691E+11,5.33492E+11,5.01917E+11,5.52738E+11,5.85924E+11,5.7991E+11,5.93859E+11,5.78938E+11,5.94749E+11,5.82377E+11,5.98791E+11,5.83118E+11,5.71451E+11,5.14874E+11,5.70059E+11,5.98313E+11,5.89036E+11
